loc_id,iso3,name,last_census_year,band,source_name
4,AFG,Afghanistan,,none since 1985,Afghanistan
8,ALB,Albania,2023.0,within 5 years,Albania
12,DZA,Algeria,2022.0,within 5 years,Algeria
16,ASM,American Samoa,2020.0,within 5 years,American Samoa
20,AND,Andorra,2021.0,within 5 years,Andorra
24,AGO,Angola,2024.0,within 5 years,Angola
28,ATG,Antigua and Barbuda,2025.0,within 5 years,Antigua and Barbuda
31,AZE,Azerbaijan,2019.0,within 5 years,Azerbaijan
32,ARG,Argentina,2022.0,within 5 years,Argentina
36,AUS,Australia,2021.0,within 5 years,Australia
40,AUT,Austria,2021.0,within 5 years,Austria
44,BHS,Bahamas,2022.0,within 5 years,Bahamas
48,BHR,Bahrain,2020.0,within 5 years,Bahrain
50,BGD,Bangladesh,2022.0,within 5 years,Bangladesh
51,ARM,Armenia,2022.0,within 5 years,Armenia
52,BRB,Barbados,2021.0,within 5 years,Barbados
56,BEL,Belgium,2021.0,within 5 years,Belgium
60,BMU,Bermuda,2016.0,5 to 14 years,Bermuda
64,BTN,Bhutan,2017.0,5 to 14 years,Bhutan
68,BOL,Bolivia (Plurinational State of),2024.0,within 5 years,Bolivia
70,BIH,Bosnia and Herzegovina,2013.0,5 to 14 years,Bosnia and Herzegovina
72,BWA,Botswana,2022.0,within 5 years,Botswana
76,BRA,Brazil,2022.0,within 5 years,Brazil
84,BLZ,Belize,2022.0,within 5 years,Belize
90,SLB,Solomon Islands,2019.0,within 5 years,Solomon Islands
92,VGB,British Virgin Islands,2023.0,within 5 years,British Virgin Islands
96,BRN,Brunei Darussalam,2021.0,within 5 years,Brunei Darussalam
100,BGR,Bulgaria,2021.0,within 5 years,Bulgaria
104,MMR,Myanmar,2024.0,within 5 years,Myanmar
108,BDI,Burundi,2024.0,within 5 years,Burundi
112,BLR,Belarus,2019.0,within 5 years,Belarus
116,KHM,Cambodia,2019.0,within 5 years,Cambodia
120,CMR,Cameroon,2005.0,15 years or more,Cameroon
124,CAN,Canada,2021.0,within 5 years,Canada
132,CPV,Cabo Verde,2021.0,within 5 years,Cape Verde
136,CYM,Cayman Islands,2021.0,within 5 years,Cayman Islands
140,CAF,Central African Republic,2003.0,15 years or more,Central African Republic
144,LKA,Sri Lanka,2024.0,within 5 years,Sri Lanka
148,TCD,Chad,2009.0,15 years or more,Chad
152,CHL,Chile,2024.0,within 5 years,Chile
156,CHN,China,2020.0,within 5 years,China
