loc_id,iso3,name,has_shape,match,reason,n_shapes,point_lat,point_lon
4,AFG,Afghanistan,True,matched,"UN M49 code, base layer",1,,
8,ALB,Albania,True,matched,"UN M49 code, base layer",1,,
12,DZA,Algeria,True,matched,"UN M49 code, base layer",1,,
16,ASM,American Samoa,True,matched,"UN M49 code, base layer",1,,
20,AND,Andorra,True,matched,"UN M49 code, base layer",1,,
24,AGO,Angola,True,matched,"UN M49 code, base layer",1,,
28,ATG,Antigua and Barbuda,True,matched,"UN M49 code, base layer",1,,
31,AZE,Azerbaijan,True,matched,"UN M49 code, base layer",1,,
32,ARG,Argentina,True,matched,"UN M49 code, base layer",1,,
36,AUS,Australia,True,matched,"UN M49 code, base layer",3,,
40,AUT,Austria,True,matched,"UN M49 code, base layer",1,,
44,BHS,Bahamas,True,matched,"UN M49 code, base layer",1,,
48,BHR,Bahrain,True,matched,"UN M49 code, base layer",1,,
50,BGD,Bangladesh,True,matched,"UN M49 code, base layer",1,,
51,ARM,Armenia,True,matched,"UN M49 code, base layer",1,,
52,BRB,Barbados,True,matched,"UN M49 code, base layer",1,,
56,BEL,Belgium,True,matched,"UN M49 code, base layer",1,,
60,BMU,Bermuda,True,matched,"UN M49 code, base layer",1,,
64,BTN,Bhutan,True,matched,"UN M49 code, base layer",1,,
68,BOL,Bolivia (Plurinational State of),True,matched,"UN M49 code, base layer",1,,
70,BIH,Bosnia and Herzegovina,True,matched,"UN M49 code, base layer",1,,
72,BWA,Botswana,True,matched,"UN M49 code, base layer",1,,
76,BRA,Brazil,True,matched,"UN M49 code, base layer",1,,
84,BLZ,Belize,True,matched,"UN M49 code, base layer",1,,
90,SLB,Solomon Islands,True,matched,"UN M49 code, base layer",1,,
92,VGB,British Virgin Islands,True,matched,"UN M49 code, base layer",1,,
96,BRN,Brunei Darussalam,True,matched,"UN M49 code, base layer",1,,
100,BGR,Bulgaria,True,matched,"UN M49 code, base layer",1,,
104,MMR,Myanmar,True,matched,"UN M49 code, base layer",1,,
108,BDI,Burundi,True,matched,"UN M49 code, base layer",1,,
112,BLR,Belarus,True,matched,"UN M49 code, base layer",1,,
116,KHM,Cambodia,True,matched,"UN M49 code, base layer",1,,
120,CMR,Cameroon,True,matched,"UN M49 code, base layer",1,,
124,CAN,Canada,True,matched,"UN M49 code, base layer",1,,
132,CPV,Cabo Verde,True,matched,"UN M49 code, base layer",1,,
136,CYM,Cayman Islands,True,matched,"UN M49 code, base layer",1,,
140,CAF,Central African Republic,True,matched,"UN M49 code, base layer",1,,
144,LKA,Sri Lanka,True,matched,"UN M49 code, base layer",1,,
148,TCD,Chad,True,matched,"UN M49 code, base layer",1,,
152,CHL,Chile,True,matched,"UN M49 code, base layer",1,,
156,CHN,China,True,matched,"UN M49 code, base layer",1,,
158,TWN,"China, Taiwan Province of China",True,matched,"UN M49 code, base layer",1,,
170,COL,Colombia,True,matched,"UN M49 code, base layer",1,,
174,COM,Comoros,True,matched,"UN M49 code, base layer",1,,
175,MYT,Mayotte,True,matched,"Mayotte - French overseas department, drawn inside France in the base layer",1,,
178,COG,Congo,True,matched,"UN M49 code, base layer",1,,
180,COD,Democratic Republic of the Congo,True,matched,"UN M49 code, base layer",1,,
184,COK,Cook Islands,True,matched,"UN M49 code, base layer",1,,
188,CRI,Costa Rica,True,matched,"UN M49 code, base layer",1,,
191,HRV,Croatia,True,matched,"UN M49 code, base layer",1,,
192,CUB,Cuba,True,matched,"UN M49 code, base layer",1,,
196,CYP,Cyprus,True,matched,"UN M49 code, base layer",1,,
203,CZE,Czechia,True,matched,"UN M49 code, base layer",1,,
204,BEN,Benin,True,matched,"UN M49 code, base layer",1,,
208,DNK,Denmark,True,matched,"UN M49 code, base layer",1,,
212,DMA,Dominica,True,matched,"UN M49 code, base layer",1,,
214,DOM,Dominican Republic,True,matched,"UN M49 code, base layer",1,,
218,ECU,Ecuador,True,matched,"UN M49 code, base layer",1,,
222,SLV,El Salvador,True,matched,"UN M49 code, base layer",1,,
226,GNQ,Equatorial Guinea,True,matched,"UN M49 code, base layer",1,,
231,ETH,Ethiopia,True,matched,"UN M49 code, base layer",1,,
232,ERI,Eritrea,True,matched,"UN M49 code, base layer",1,,
233,EST,Estonia,True,matched,"UN M49 code, base layer",1,,
234,FRO,Faroe Islands,True,matched,"UN M49 code, base layer",1,,
238,FLK,Falkland Islands (Malvinas),True,matched,"UN M49 code, base layer",1,,
242,FJI,Fiji,True,matched,"UN M49 code, base layer",1,,
246,FIN,Finland,True,matched,"UN M49 code, base layer",1,,
250,FRA,France,True,matched,"UN M49 code, base layer",1,,
254,GUF,French Guiana,True,matched,French Guiana - French overseas department,1,,
258,PYF,French Polynesia,True,matched,"UN M49 code, base layer",1,,
262,DJI,Djibouti,True,matched,"UN M49 code, base layer",1,,
266,GAB,Gabon,True,matched,"UN M49 code, base layer",1,,
268,GEO,Georgia,True,matched,"UN M49 code, base layer",1,,
270,GMB,Gambia,True,matched,"UN M49 code, base layer",1,,
275,PSE,State of Palestine,True,matched,"UN M49 code, base layer",1,,
276,DEU,Germany,True,matched,"UN M49 code, base layer",1,,
288,GHA,Ghana,True,matched,"UN M49 code, base layer",1,,
292,GIB,Gibraltar,False,point_only,"6.8 sq km, below the resolution of the 50m data",0,36.14,-5.35
296,KIR,Kiribati,True,matched,"UN M49 code, base layer",1,,
300,GRC,Greece,True,matched,"UN M49 code, base layer",1,,
304,GRL,Greenland,True,matched,"UN M49 code, base layer",1,,
