key,country,data_source,observation_year,cohort_from,cohort_to,women,mean_children,variance_geometric,cv_minimum_tail,cv_geometric,cv_bounded_max_tail,open_parity,open_share,open_mean,unknown_share_reported,poisson_cv,excess_variance,excess_cv_if_poisson
albania_2011,Albania,Census 2011,2011,1952,1961,179810,3.1916317280049933,3.227642863630239,0.5601139460989848,0.5628983341761359,0.6144441423379013,8,0.027608920865293856,8.75950422712246,0.0,0.5597493695838849,0.036011135625245494,0.05945736177053443
argentina_2001,Argentina,Census 2001,2001,1942,1951,1740560,2.9737728087512063,5.034651056416227,0.7404304522912748,0.7545306772562418,0.9007857457983464,8,0.048708461644528196,9.578674215616891,0.0,0.5798906508011581,2.0608782476650203,0.4827456639206325
austria_2001,Austria,Census 2001,2001,1942,1951,484936,2.008580513717274,1.8617370054655105,0.6781193386986828,0.6793129918734453,0.696391082931341,8,0.0032684725407064025,9.0,0.0,0.7055948096517042,-0.1468435082517634,0.0
belarus_2009,Belarus,Census 2009,2009,1950,1959,558697,1.7626638410444302,0.6614221446003974,0.46132430431769555,0.4613917980443412,0.46192519003077726,12,3.400770005924499e-05,13.947368421052632,0.03563858432986274,0.753208569038168,-1.1012416964440328,0.0
belgium_2001,Belgium,Census 2001,2001,1942,1951,621371,1.921027856143914,1.8317522992364275,0.7045303559678232,0.7045303559678232,0.7045303559678232,12,0.00031704086608483497,12.0,0.0,0.7214947392017059,-0.08927555690748656,0.0
bolivia_2001,Bolivia,Census 2001,2001,1942,1951,237440,5.874031334231806,13.555985918597933,0.5775855643570377,0.6268004442991938,0.9582126528105198,8,0.3272405660377358,10.060617760617761,0.032397408207343416,0.4126025147084293,7.681954584366127,0.47184527318809416
bosnia_herzegovina_1991,Bosnia-Herzegovina,Census 1991,1991,1932,1941,256933,3.1415660892139194,5.940999871370602,0.7571024176588581,0.7758603733418784,0.9414548240382713,8,0.055905625201900885,9.837231968810917,0.0056733965688721705,0.5641919688727907,2.7994337821566826,0.5325849614677861
brazil_2010,Brazil,Census 2010,2010,1951,1960,1018086,3.2937826470455343,6.7722352427905115,0.7674919415487416,0.7900800224119855,0.9843739001987556,8,0.07395642411348353,9.852976332775519,0.0,0.5510011831590385,3.4784525957449772,0.5662368214553548
bulgaria_2001,Bulgaria,Census 2001,2001,1942,1951,565261,1.902747580321303,0.7880372831895404,0.46577207002004267,0.46654356563705995,0.4775902232278637,8,0.0013020533877270853,9.0,0.0,0.7249522645863384,-1.1147102971317626,0.0
chile_2002,Chile,Census 2002,2002,1943,1952,708583,3.050023779853595,3.8637305958224974,0.6388346091005137,0.6444662713047237,0.7202743435371859,8,0.030731756195110524,9.086379500367377,0.024089831064051322,0.5725961021458456,0.8137068159689025,0.29575408476773074
