name,value,low,high,unit,kind,verified,evidence,provenance,notes
mainstream_persistence,0.15,0.05,0.30,correlation,sourced,TRUE,"Murphy (1999) reports recent parent-child fertility correlations mostly 0.15-0.20; Murphy (2013), 46 populations in 28 countries, reports regional means from 0.09 to 0.19 in Europe and Northern America (DOI 10.1080/19485565.2013.833779).","Checked 2026-08-13 against the published Murphy (1999) text and the open-access Murphy (2013) paper; see docs/mechanism-parameter-audit.md.","The 0.15 centre is directly supported. The wider 0.05-0.30 interval is deliberately conservative across settings. This is combined genetic plus cultural persistence, not heritability."
mainstream_propensity_cv,0.60,0.45,0.80,coefficient of variation,sourced,FALSE,"Published parity distributions confirm substantial completed-family-size dispersion, but the cited recollection did not identify a reproducible cohort microdistribution from which mean, variance and this CV can be computed.","Audited 2026-08-13 and left unverified. Derive from Human Fertility Database or comparable cohort-parity data before publication; see docs/mechanism-parameter-audit.md.","Highest-leverage unresolved sourced row. It sets how far apart the latent low, middle and high propensity types are."
mainstream_types,3,3,3,count,knob,FALSE,"None. A structural choice, not an estimate.","Chosen for transparency per spec 6.5.","Three latent fertility-propensity types with no ethnic, religious or political label attached."
group_retention_haredi,0.867,0.735,0.950,proportion,sourced,TRUE,"Israel Democracy Institute (Regev and Gordon 2020) estimates 13.3% of people aged 20-64 raised Haredi had left: 86.7% implied retention. Leaving differs sharply by faction (5.4% Hasidic, 8.6% Lithuanian, 26.4% Sephardi).","Checked 2026-08-13 against the IDI study summary and its CBS-based estimates; see docs/mechanism-parameter-audit.md.","Definition is current Haredi identification, not religious belief or school enrollment. The interval reflects documented faction heterogeneity."
group_fertility_haredi,6.40,5.80,7.00,children per woman,sourced,TRUE,"Israel CBS reports Haredi TFR 6.38 for 2020-2022; IDI's 2024 statistical report rounds this to 6.4 and documents a fall from 7.5 in 2003-2005.","Checked 2026-08-13 against Israel CBS Births and Fertility 2022 and IDI Annual Statistical Report on Haredi Society 2024; see docs/mechanism-parameter-audit.md.","Period TFR is used only to initialize a named-group propensity relative to Israel's 2024 fertility, not as a model scoring target."
group_share_haredi,0.139,0.120,0.150,proportion of population,sourced,TRUE,"IDI's 2024 statistical report estimates 1,392,000 Haredim, 13.9% of Israel's 2024 population.","Checked 2026-08-13 against IDI Annual Statistical Report on Haredi Society 2024, which reports CBS-based population estimates; see docs/mechanism-parameter-audit.md.","Applied to Israel only. The value is aligned to the model's 2024 fork year."
group_retention_amish,0.845,0.800,0.920,proportion,sourced,TRUE,"Anderson and Thiehoff (2025) analyze 117,259 coded individuals and estimate 84.46% retention at ages 40+, the best approximation to lifetime retention (DOI 10.1080/00324728.2025.2592576).","Checked 2026-08-13 against the open-access Population Studies paper; see docs/mechanism-parameter-audit.md.","Retention varies by affiliation and cohort. The population-wide age-40+ estimate replaces a rounded recollection."
group_fertility_amish,6.10,5.00,6.50,children per woman,sourced,TRUE,"Anderson and Thiehoff (2025) estimate an Amish TFR of 6.1 from 77,073 births in the 2002-2011 snapshot; earlier Holmes County work reported completed fertility of 6.33 among married women.","Checked 2026-08-13 against the open-access Population Studies paper (DOI 10.1080/00324728.2025.2592576); see docs/mechanism-parameter-audit.md.","The directly measured TFR matches the quantity used to initialize the named-group propensity."
group_share_amish,0.00115,0.00110,0.00130,proportion of population,sourced,TRUE,"The Young Center estimates 394,720 Amish residents in the United States in 2024, about 0.115% of a roughly 344 million U.S. population.","Checked 2026-08-13 against Young Center, Amish Population 2024; see docs/mechanism-parameter-audit.md.","Applied to the United States only. Young Center counts horse-and-buggy Amish groups and excludes Beachy Amish and Amish Mennonites."
defector_high_propensity_weight,0.60,0.30,0.90,proportion,knob,FALSE,"None that is directly measured.","Scenario knob. Spec 6.5 argues defectors should keep part of the fertility profile for a generation or two; how much is not established.","Share of children leaving a named group who land in the mainstream HIGH propensity type rather than being spread across the mainstream distribution."
development_decline_per_decade,0.04,0.00,0.08,proportional fall,knob,FALSE,"None. This is the quantity the project is trying to learn, not one it can look up.","Scenario knob, and the most important one in the model. Spec 6.9 requires it be a stated path rather than a fitted trend.","How much the fertility ENVIRONMENT falls per decade under continued development pressure: what a person of fixed propensity has, not what the population has."
development_floor,0.55,0.40,0.75,multiplier,knob,FALSE,"None.","Scenario knob.","Floor on the environment multiplier relative to 2024, so continued development pressure cannot drive the environment to zero."
group_convergence_per_generation,0.10,0.00,0.25,proportional fall,knob,FALSE,"Group fertility differentials have narrowed in several documented cases, but no general rate is established.","Scenario knob. Spec 6.7 forbids extrapolating a small group's present behaviour unchanged after it becomes a large share of society.","How much a named group's fertility advantage decays per generation under the convergence scenario."
